"id","mpg","carName","cylinders","displacement","horsepower","weight","acceleration","modelYear","origin"
355,34.5,"renault 18i",4,100,"?",2320,15.8,81,2
106,13,"plymouth custom suburb",8,360,170,4654,13,73,1
181,25,"saab 99le",4,121,115,2671,13.5,75,2
350,34.1,"mazda glc 4",4,91,68,1985,16,81,3
226,17.5,"chevrolet concours",6,250,110,3520,16.4,77,1
295,34.1,"maxda glc deluxe",4,86,65,1975,15.2,79,3
389,26,"chrysler lebaron medallion",4,156,92,2585,14.5,82,1
196,29,"chevrolet chevette",4,85,52,2035,22.2,76,1
21,25,"peugeot 504",4,110,87,2672,17.5,70,2
74,13,"chevrolet chevelle concours (sw)",8,307,130,4098,14,72,1
80,26,"renault 12 (sw)",4,96,69,2189,18,72,2
1,18,"chevrolet chevelle malibu",8,307,130,3504,12,70,1
24,26,"bmw 2002",4,121,113,2234,12.5,70,2
290,16.9,"buick estate wagon (sw)",8,350,155,4360,14.9,79,1
140,14,"ford gran torino (sw)",8,302,140,4638,16,74,1
160,14,"ford ltd",8,351,148,4657,13.5,75,1
115,26,"fiat 124 sport coupe",4,98,90,2265,15.5,73,2
107,12,"oldsmobile vista cruiser",8,350,180,4499,12.5,73,1
361,30.7,"volvo diesel",6,145,76,3160,19.6,81,2
118,29,"fiat 128",4,68,49,1867,19.5,73,2
30,27,"datsun pl510",4,97,88,2130,14.5,71,3
373,27,"pontiac phoenix",4,151,90,2735,18,82,1
159,16,"plymouth grand fury",8,318,150,4498,14.5,75,1
252,20.2,"mercury monarch ghia",8,302,139,3570,12.8,78,1
187,27,"renault 12tl",4,101,83,2202,15.3,76,2
113,19,"ford pinto",4,122,85,2310,18.5,73,1
246,36.1,"ford fiesta",4,98,66,1800,14.4,78,1
10,15,"amc ambassador dpl",8,390,190,3850,8.5,70,1
183,28,"fiat 131",4,107,86,2464,15.5,76,2
12,14,"plymouth 'cuda 340",8,340,160,3609,8,70,1
109,20,"toyota carina",4,97,88,2279,19,73,3
310,41.5,"vw rabbit",4,98,76,2144,14.7,80,2
63,13,"chevrolet impala",8,350,165,4274,12,72,1
210,19,"peugeot 504",4,120,88,3270,21.9,76,2
220,25.5,"plymouth arrow gs",4,122,96,2300,15.5,77,1
375,23,"amc concord dl",4,151,"?",3035,20.5,82,1
124,20,"toyota mark ii",6,156,122,2807,13.5,73,3
84,28,"dodge colt (sw)",4,98,80,2164,15,72,1
250,19.9,"oldsmobile cutlass salon brougham",8,260,110,3365,15.5,78,1
142,29,"audi fox",4,98,83,2219,16.5,74,2
173,25,"volkswagen dasher",4,90,71,2223,16.5,75,2
41,14,"ford galaxie 500",8,351,153,4154,13.5,71,1
351,34.7,"plymouth horizon 4",4,105,63,2215,14.9,81,1
256,25.1,"ford fairmont (man)",4,140,88,2720,15.4,78,1
79,21,"peugeot 504 (sw)",4,120,87,2979,19.5,72,2
292,19.2,"chevrolet malibu classic (sw)",8,267,125,3605,15,79,1
154,18,"chevrolet nova",6,250,105,3459,16,75,1
135,16,"amc matador",6,258,110,3632,18,74,1
22,24,"audi 100 ls",4,107,90,2430,14.5,70,2
300,27.2,"peugeot 504",4,141,71,3190,24.8,79,2
69,13,"buick lesabre custom",8,350,155,4502,13.5,72,1
385,32,"honda civic (auto)",4,91,67,1965,15.7,82,3
104,11,"chevrolet impala",8,400,150,4997,14,73,1
52,30,"peugeot 304",4,79,70,2074,19.5,71,2
384,38,"honda civic",4,91,67,1965,15,82,3
222,17.5,"chevrolet caprice classic",8,305,145,3880,12.5,77,1
13,15,"chevrolet monte carlo",8,400,150,3761,9.5,70,1
201,18,"ford granada ghia",6,250,78,3574,21,76,1
199,33,"honda civic",4,91,53,1795,17.4,76,3
352,34.4,"ford escort 4w",4,98,65,2045,16.2,81,1
121,19,"volvo 144ea",4,121,112,2868,15.5,73,2
67,17,"amc ambassador sst",8,304,150,3672,11.5,72,1
303,34.5,"plymouth horizon tc3",4,105,70,2150,14.9,79,1
370,34,"chevrolet cavalier 2-door",4,112,88,2395,18,82,1
147,28,"dodge colt",4,90,75,2125,14.5,74,1
156,15,"ford maverick",6,250,72,3158,19.5,75,1
184,25,"opel 1900",4,116,81,2220,16.9,76,2
283,22.3,"ford fairmont 4",4,140,88,2890,17.3,79,1
44,13,"ford country squire (sw)",8,400,170,4746,12,71,1
125,11,"oldsmobile omega",8,350,180,3664,11,73,1
345,39,"plymouth champ",4,86,64,1875,16.4,81,1
78,22,"volkswagen 411 (sw)",4,121,76,2511,18,72,2
89,14,"ford gran torino",8,302,137,4042,14.5,73,1
224,15.5,"dodge monaco brougham",8,318,145,4140,13.7,77,1
150,24,"honda civic",4,120,97,2489,15,74,3
342,23.5,"chevrolet citation",6,173,110,2725,12.6,81,1
130,31,"datsun b210",4,79,67,1950,19,74,3
198,29,"vw rabbit",4,90,70,1937,14.2,76,2
304,31.8,"datsun 210",4,85,65,2020,19.2,79,3
178,23,"audi 100ls",4,115,95,2694,15,75,2
62,21,"ford pinto runabout",4,122,86,2226,16.5,72,1
152,31,"fiat x1.9",4,79,67,2000,16,74,2
177,19,"amc pacer",6,232,90,3211,17,75,1
81,22,"ford pinto (sw)",4,122,86,2395,16,72,1
46,18,"amc hornet sportabout (sw)",6,258,110,2962,13.5,71,1
61,20,"chevrolet vega",4,140,90,2408,19.5,72,1
207,26.5,"ford pinto",4,140,72,2565,13.6,76,1
122,15,"dodge dart custom",8,318,150,3399,11,73,1
166,20,"chevrolet monza 2+2",8,262,110,3221,13.5,75,1
331,40.9,"renault lecar deluxe",4,85,"?",1835,17.3,80,2
356,33.7,"honda prelude",4,107,75,2210,14.4,81,3
66,14,"ford galaxie 500",8,351,153,4129,13,72,1
301,23.9,"oldsmobile cutlass salon brougham",8,260,90,3420,22.2,79,1
73,15,"amc matador (sw)",8,304,150,3892,12.5,72,1
318,34.3,"audi 4000",4,97,78,2188,15.8,80,2
186,26,"dodge colt",4,98,79,2255,17.7,76,1
117,16,"pontiac grand prix",8,400,230,4278,9.5,73,1
34,19,"amc gremlin",6,232,100,2634,13,71,1
94,14,"plymouth fury gran sedan",8,318,150,4237,14.5,73,1
36,17,"chevrolet chevelle malibu",6,250,100,3329,15.5,71,1
378,31,"mazda glc custom",4,91,68,1970,17.6,82,3
137,16,"ford gran torino",8,302,140,4141,14,74,1
191,14.5,"ford gran torino",8,351,152,4215,12.8,76,1
221,33.5,"datsun f-10 hatchback",4,85,70,1945,16.8,77,3
99,16,"chevrolet nova custom",6,250,100,3278,18,73,1
380,36,"mercury lynx l",4,98,70,2125,17.3,82,1
240,30,"subaru dl",4,97,67,1985,16.4,77,3
185,25,"capri ii",4,140,92,2572,14.9,76,1
170,20,"amc gremlin",6,232,100,2914,16,75,1
172,24,"toyota corona",4,134,96,2702,13.5,75,3
238,30.5,"chevrolet chevette",4,98,63,2051,17,77,1
232,15.5,"chrysler cordoba",8,400,190,4325,12.2,77,1
77,18,"volvo 145e (sw)",4,121,112,2933,14.5,72,2
277,21.6,"saab 99gle",4,121,115,2795,15.7,78,2
362,25.4,"toyota cressida",6,168,116,2900,12.6,81,3
139,14,"dodge coronet custom (sw)",8,318,150,4457,13.5,74,1
33,25,"ford pinto",4,98,"?",2046,19,71,1
390,22,"ford granada l",6,232,112,2835,14.7,82,1
182,33,"honda civic cvcc",4,91,53,1795,17.5,75,3
131,26,"ford pinto",4,122,80,2451,16.5,74,1
316,24.3,"amc concord",4,151,90,3003,20.1,80,1
236,26,"toyota corolla liftback",4,97,75,2265,18.2,77,3
65,15,"plymouth fury iii",8,318,150,4135,13.5,72,1
119,24,"opel manta",4,116,75,2158,15.5,73,2
4,16,"amc rebel sst",8,304,150,3433,12,70,1
175,18,"ford pinto",6,171,97,2984,14.5,75,1
5,17,"ford torino",8,302,140,3449,10.5,70,1
90,15,"dodge coronet custom",8,318,150,3777,12.5,73,1
358,32.9,"datsun 200sx",4,119,100,2615,14.8,81,3
143,26,"volkswagen dasher",4,79,67,1963,15.5,74,2
148,24,"fiat 128",4,90,75,2108,15.5,74,2
307,28.8,"chevrolet citation",6,173,115,2595,11.3,79,1
335,23.7,"mazda rx-7 gs",3,70,100,2420,12.5,80,3
40,14,"pontiac catalina brougham",8,400,175,4464,11.5,71,1
320,31.3,"mazda 626",4,120,75,2542,17.5,80,3
228,19,"plymouth volare custom",6,225,100,3630,17.7,77,1
28,11,"dodge d200",8,318,210,4382,13.5,70,1
264,17.7,"buick regal sport coupe (turbo)",6,231,165,3445,13.4,78,1
286,17,"chevrolet caprice classic",8,305,130,3840,15.4,79,1
395,44,"vw pickup",4,97,52,2130,24.6,82,2
194,24,"ford maverick",6,200,81,3012,17.6,76,1
6,15,"ford galaxie 500",8,429,198,4341,10,70,1
398,31,"chevy s-10",4,119,82,2720,19.4,82,1
244,21.5,"mazda rx-4",3,80,110,2720,13.5,77,3
346,35.1,"honda civic 1300",4,81,60,1760,16.1,81,3
